"","match_id","league","n_games"
"613",1020167,"Tunisia: Ligue Professionnelle 1",137
"614",1020168,"Tunisia: Ligue Professionnelle 1",137
"615",1020169,"Tunisia: Ligue Professionnelle 1",137
"616",1020170,"Tunisia: Ligue Professionnelle 1",137
"617",1020171,"Turkey: PTT 1. Lig",162
"618",1020172,"Turkey: PTT 1. Lig",162
"619",1020173,"Netherlands: Eredivisie",175
"620",1020176,"Chile: Primera B",116
"621",1020177,"Chile: Primera B",116
"622",1020179,"Cyprus: First Division",149
"623",1020180,"England: Premier League",211
"624",1020183,"France: Ligue 1",221
"625",1020184,"France: Ligue 1",221
"626",1020186,"Malta: Premier League",123
"627",1020187,"Malta: Premier League",123
"628",1020202,"Poland: Division 1",100
"629",1020203,"Portugal: Primeira Liga",177
"630",1020204,"Portugal: Primeira Liga",177
"631",1020205,"Qatar: Premier League",125
"632",1020206,"Qatar: Premier League",125
"633",1020210,"Spain: Segunda Division",251
"634",1020211,"Spain: Segunda Division",251
"635",1020212,"Spain: Segunda Division",251
"636",1020213,"Spain: Segunda Division",251
"637",1020214,"Spain: Segunda Division B - Group 1",230
"638",1020215,"Spain: Segunda Division B - Group 1",230
"639",1020216,"Spain: Segunda Division B - Group 1",230
"640",1020217,"Spain: Segunda Division B - Group 1",230
"641",1020218,"Spain: Segunda Division B - Group 2",231
"642",1020219,"Spain: Segunda Division B - Group 2",231
"643",1020220,"Spain: Segunda Division B - Group 3",219
"644",1020221,"Spain: Segunda Division B - Group 3",219
