"","V1","match_id","match_date","match_time","outcome","closing_odds_outcome","home_opening","home_closing","draw_opening","draw_closing","away_opening","away_closing","home_opening_minus_closing","draw_opening_minus_closing","away_opening_minus_closing","home_min","home_max","home_range","draw_min","draw_max","draw_range","away_min","away_max","away_range"
"90",90,1502638,"2015-12-19","18:30:00","draw",3.4,2,2,3.6,3.4,4,3.75,0,0.2,0.25,2,2.05,0.0499999999999998,3.4,3.6,0.2,3.75,4,0.25
"91",91,1509726,"2015-12-20","14:30:00","home",3.75,3.8,3.75,3.6,3.4,2.1,2,0.0499999999999998,0.2,0.1,3.75,4.2,0.45,3.4,3.6,0.2,1.95,2.1,0.15
"92",92,1509920,"2015-12-20","17:00:00","draw",3.4,2,2,3.5,3.4,4.33,3.75,0,0.1,0.58,2,2.15,0.15,3.4,3.5,0.1,3.6,4.33,0.73
"93",93,1517560,"2015-12-21","21:00:00","home",2.45,2.5,2.45,3.4,3.5,3.1,3,0.0499999999999998,-0.1,0.1,2.38,2.5,0.12,3.4,3.6,0.2,3,3.1,0.1
"94",94,1543396,"2015-12-26","13:45:00","home",3.25,3.4,3.25,3.2,3.2,2.38,2.3,0.15,0,0.0800000000000001,3.25,3.5,0.25,3.2,3.25,0.0499999999999998,2.3,2.4,0.1
"95",95,1543445,"2015-12-26","16:00:00","draw",3.25,2.55,2.63,3.3,3.25,3.1,2.75,-0.0800000000000001,0.0499999999999998,0.35,2.5,2.7,0.2,3.25,3.3,0.0499999999999998,2.75,3.1,0.35
"96",96,1543446,"2015-12-26","16:00:00","draw",3.3,2.2,2.4,3.4,3.3,3.6,3,-0.2,0.1,0.6,2.2,2.45,0.25,3.3,3.5,0.2,3,3.6,0.6
"97",97,1543447,"2015-12-26","16:00:00","draw",4.33,1.5,1.44,4.5,4.33,7.5,8,0.0600000000000001,0.17,-0.5,1.44,1.53,0.0900000000000001,4.33,4.5,0.17,6.5,8,1.5
"98",98,1543448,"2015-12-26","16:00:00","home",1.91,2.05,1.91,3.9,3.8,3.75,3.8,0.14,0.1,-0.0499999999999998,1.91,2.05,0.14,3.6,3.9,0.3,3.75,4,0.25
"99",99,1543449,"2015-12-26","16:00:00","home",1.2,1.22,1.2,7,7,13,13,0.02,0,0,1.2,1.22,0.02,7,7,0,13,13,0
"100",100,1543450,"2015-12-26","16:00:00","home",1.91,2,1.91,3.4,3.4,4.5,4.5,0.0900000000000001,0,0,1.91,2,0.0900000000000001,3.4,3.4,0,4.33,4.5,0.17
"101",101,1543451,"2015-12-26","16:00:00","home",1.4,1.5,1.4,4.5,4.75,7.5,8,0.1,-0.25,-0.5,1.4,1.5,0.1,4.5,4.75,0.25,7.5,8,0.5
"102",102,1543598,"2015-12-26","18:30:00","away",2.2,3.6,3.2,3.6,3.5,2.15,2.2,0.4,0.1,-0.0500000000000003,3.2,3.6,0.4,3.5,3.6,0.1,2.15,2.3,0.15
"103",103,1543607,"2015-12-26","20:45:00","home",3.6,3.5,3.6,3.5,3.5,2.25,2.05,-0.1,0,0.2,3.1,3.75,0.65,3.5,3.6,0.1,2.05,2.45,0.4
"104",104,1552880,"2015-12-28","16:00:00","draw",3.4,1.95,1.91,3.5,3.4,4.2,4.33,0.04,0.1,-0.13,1.91,2.25,0.34,3.3,3.5,0.2,3.6,4.33,0.73
"105",105,1552881,"2015-12-28","16:00:00","away",4.2,1.91,2,3.6,3.2,4.5,4.2,-0.0900000000000001,0.4,0.3,1.91,2,0.0900000000000001,3.2,3.6,0.4,4,4.5,0.5
"106",106,1552882,"2015-12-28","16:00:00","home",1.95,1.91,1.95,3.5,3.5,4.5,4,-0.04,0,0.5,1.91,2.05,0.14,3.3,3.6,0.3,3.8,4.5,0.7
"107",107,1552883,"2015-12-28","16:00:00","away",2.15,3.4,3.4,3.5,3.4,2.3,2.15,0,0.1,0.15,3.4,3.8,0.4,3.3,3.6,0.3,2,2.3,0.3
"108",108,1552884,"2015-12-28","16:00:00","home",2.2,2.2,2.2,3.3,3.3,3.9,3.4,0,0,0.5,2.15,2.2,0.0500000000000003,3.25,3.4,0.15,3.4,3.9,0.5
"109",109,1552966,"2015-12-28","18:30:00","home",1.4,1.5,1.4,4.5,4.75,7.5,8,0.1,-0.25,-0.5,1.4,1.53,0.13,4.2,4.75,0.55,7,8,1
"110",110,1552967,"2015-12-28","18:30:00","draw",3.3,2.55,2.5,3.3,3.3,3.1,2.9,0.0499999999999998,0,0.2,2.5,2.7,0.2,3.2,3.3,0.0999999999999996,2.9,3.1,0.2
"111",111,1552968,"2015-12-28","18:30:00","home",3.1,3.4,3.1,3.4,3.2,2.3,2.4,0.3,0.2,-0.1,3.1,3.6,0.5,3.2,3.4,0.2,2.2,2.4,0.2
"112",112,1557740,"2015-12-29","20:45:00","draw",3.75,4.33,4,3.9,3.75,1.83,1.85,0.33,0.15,-0.02,4,4.33,0.33,3.75,4,0.25,1.83,1.91,0.0799999999999998
"113",113,1562284,"2015-12-30","20:45:00","away",1.7,5.5,5.5,3.9,3.9,1.7,1.7,0,0,0,5.5,5.5,0,3.9,4,0.1,1.67,1.7,0.03
"114",114,1581425,"2016-01-02","13:45:00","home",3.6,4,3.6,3.5,3.5,2,2.05,0.4,0,-0.0499999999999998,3.6,4,0.4,3.5,3.6,0.1,1.91,2.05,0.14
"115",115,1581461,"2016-01-02","16:00:00","home",1.29,1.29,1.29,6.5,5.5,11,11,0,1,0,1.22,1.29,0.0700000000000001,5.5,6.5,1,10,12,2
"116",116,1581462,"2016-01-02","16:00:00","draw",3.6,2,1.91,3.7,3.6,4,3.8,0.0900000000000001,0.1,0.2,1.85,2.05,0.2,3.5,3.8,0.3,3.8,4.33,0.53
"117",117,1581463,"2016-01-02","16:00:00","home",1.5,1.53,1.5,4.2,4.2,7.5,6.5,0.03,0,1,1.5,1.55,0.05,4,4.33,0.33,6.5,8,1.5
"118",118,1581464,"2016-01-02","16:00:00","home",3.3,3.2,3.3,3.4,3.25,2.45,2.25,-0.0999999999999996,0.15,0.2,3.2,3.3,0.0999999999999996,3.25,3.4,0.15,2.25,2.45,0.2
"119",119,1581465,"2016-01-02","16:00:00","home",2.38,2.45,2.38,3.25,3.3,3.25,3.1,0.0700000000000003,-0.0499999999999998,0.15,2.38,2.5,0.12,3.25,3.3,0.0499999999999998,3,3.3,0.3
"120",120,1581466,"2016-01-02","16:00:00","home",2.63,2.8,2.63,3.2,3.1,2.9,2.88,0.17,0.1,0.02,2.63,2.9,0.27,3.1,3.2,0.1,2.75,2.9,0.15
"121",121,1581645,"2016-01-02","18:30:00","away",1.67,5.25,5,3.8,3.8,1.7,1.67,0.25,0,0.03,5,5.25,0.25,3.8,3.8,0,1.67,1.75,0.0800000000000001
"122",122,1589105,"2016-01-03","14:30:00","away",2.05,4.2,3.75,3.4,3.4,2,2.05,0.45,0,-0.0499999999999998,3.75,4.2,0.45,3.4,3.4,0,2,2.1,0.1
"123",123,1589185,"2016-01-03","17:00:00","draw",3.4,2.6,2.63,3.4,3.4,2.8,2.63,-0.0299999999999998,0,0.17,2.6,2.8,0.2,3.4,3.4,0,2.63,2.8,0.17
"124",124,1654677,"2016-01-12","20:45:00","home",2.88,3.2,2.88,3.25,3.2,2.5,2.5,0.32,0.0499999999999998,0,2.88,3.2,0.32,3.2,3.3,0.0999999999999996,2.45,2.5,0.0499999999999998
"125",125,1654678,"2016-01-12","20:45:00","away",3.5,1.95,2.05,3.6,3.4,4,3.5,-0.0999999999999999,0.2,0.5,1.95,2.1,0.15,3.4,3.6,0.2,3.5,4,0.5
"126",126,1654679,"2016-01-12","20:45:00","draw",3.6,5.25,4.33,3.7,3.6,1.75,1.8,0.92,0.1,-0.05,4.33,5.25,0.92,3.6,3.8,0.2,1.7,1.83,0.13
"127",127,1662514,"2016-01-13","20:45:00","draw",4.75,1.48,1.36,4.33,4.75,8.5,8.5,0.12,-0.42,0,1.36,1.48,0.12,4.33,5,0.67,8,9.5,1.5
"128",128,1662515,"2016-01-13","20:45:00","draw",4.75,1.55,1.44,4.75,4.75,6,6,0.11,0,0,1.44,1.55,0.11,4.5,4.75,0.25,6,6.5,0.5
"129",129,1662516,"2016-01-13","20:45:00","home",1.91,1.95,1.91,3.5,3.4,4.2,4,0.04,0.1,0.2,1.91,2,0.0900000000000001,3.4,3.7,0.3,4,4.5,0.5
"130",130,1662517,"2016-01-13","20:45:00","home",2,2,2,3.5,3.3,4.33,3.8,0,0.2,0.53,2,2.05,0.0499999999999998,3.3,3.5,0.2,3.8,4.33,0.53
"131",131,1662518,"2016-01-13","20:45:00","away",5.5,1.91,1.67,3.4,3.5,4.75,5.5,0.24,-0.1,-0.75,1.67,1.91,0.24,3.4,3.75,0.35,4.75,5.5,0.75
"132",132,1662520,"2016-01-13","21:00:00","draw",3.4,2.7,2.9,3.5,3.4,2.8,2.38,-0.2,0.1,0.42,2.6,3.1,0.5,3.4,3.5,0.1,2.38,2.88,0.5
"133",133,1662521,"2016-01-13","21:00:00","away",5,1.8,1.7,3.9,3.6,5,5,0.1,0.3,0,1.7,1.8,0.1,3.6,3.9,0.3,5,5.25,0.25
"134",134,1681685,"2016-01-16","13:45:00","home",1.29,1.4,1.29,5,5.5,9,11,0.11,-0.5,-2,1.29,1.4,0.11,5,5.5,0.5,8,11,3
